strategy_id,product_id,input_name,parameter_id,low,base,high,feasible_at_low,feasible_at_high,threshold,direction,evaluations,note,bracket_low,bracket_high
S0,norepinephrine_1mgml_4ml,capacity_utilization,product.annual_demand_units,500000.0,900000.0,1800000.0,False,False,,infeasible_everywhere,"[{""value"": 500000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9954957194662896, ""p_meet"": 0.85, ""mean_cost"": 11772536.465384576, ""mcse_cost"": 4459.471320816283, ""mean_shortage_days"": 8.81120618838992, ""mean_cost_per_unit"": 22.58125864066223, ""capacity_utilization"": 2606817.7, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 1800000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.5841160966588743, ""p_meet"": 0.0, ""mean_cost"": 13158290.51214207, ""mcse_cost"": 24769.283297680653, ""mean_shortage_days"": 249.21411555312156, ""mean_cost_per_unit"": 12.012525196062327, ""capacity_utilization"": 5486413.6, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 500000.0 and 1800000.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,fixed_qa_labor_per_node,product.fixed_qa_labor_usd_per_site_year,1500000.0,3000000.0,6000000.0,False,False,,infeasible_everywhere,"[{""value"": 1500000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 11206764.05642875, ""mcse_cost"": 12159.199118028793, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 12.039794713907742, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 6000000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 15885881.576734385, ""mcse_cost"": 12159.199118028753, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 17.0672598453817, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 1500000.0 and 6000000.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,release_time,global.sterility_incubation_days,14.0,14.0,18.0,False,False,,infeasible_everywhere,"[{""value"": 14.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 12766469.896530628, ""mcse_cost"": 12159.199118028751, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 13.715616424399062, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 18.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9857481406202261, ""p_meet"": 0.75, ""mean_cost"": 12756077.696141537, ""mcse_cost"": 12592.706001099099, ""mean_shortage_days"": 26.833673329682362, ""mean_cost_per_unit"": 13.733317600196258, ""capacity_utilization"": 4645912.5, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 14.0 and 18.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,shelf_life,product.shelf_life_months,12.0,24.0,30.0,False,False,,infeasible_everywhere,"[{""value"": 12.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 12766469.896530628, ""mcse_cost"": 12159.199118028751, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 13.715616424399062, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 30.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 12766469.896530628, ""mcse_cost"": 12159.199118028751, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 13.715616424399062, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 12.0 and 30.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,raw_material_lead_time,product.material_lead_time_days,30.0,90.0,240.0,False,False,,infeasible_everywhere,"[{""value"": 30.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9880729840835901, ""p_meet"": 0.6, ""mean_cost"": 12762980.703264084, ""mcse_cost"": 10044.027601649886, ""mean_shortage_days"": 23.073158543263965, ""mean_cost_per_unit"": 13.705066254742661, ""capacity_utilization"": 4656988.55, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 240.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9832471809679285, ""p_meet"": 0.65, ""mean_cost"": 12751482.857021425, ""mcse_cost"": 9795.241724947095, ""mean_shortage_days"": 30.494174424972613, ""mean_cost_per_unit"": 13.760803679240777, ""capacity_utilization"": 4633733.55, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 30.0 and 240.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,common_cause_dependence,global.common_cause_events_per_year,0.02,0.1,0.3,False,False,,infeasible_everywhere,"[{""value"": 0.02, ""strategy_id"": ""S0"", ""mean_fill"": 0.9939181649805375, ""p_meet"": 0.8, ""mean_cost"": 12782636.44099214, ""mcse_cost"": 8800.46027384117, ""mean_shortage_days"": 13.951909912376777, ""mean_cost_per_unit"": 13.642575093136392, ""capacity_utilization"": 4684895.2, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 0.3, ""strategy_id"": ""S0"", ""mean_fill"": 0.9691552170855429, ""p_meet"": 0.65, ""mean_cost"": 12715152.675431285, ""mcse_cost"": 22919.251635624034, ""mean_shortage_days"": 38.655291621029576, ""mean_cost_per_unit"": 13.947152675725041, ""capacity_utilization"": 4566319.15, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 0.02 and 0.3; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,supplier_concentration,global.supplier_disruptions_per_supplier_year,0.05,0.2,0.6,False,False,,infeasible_everywhere,"[{""value"": 0.05, ""strategy_id"": ""S0"", ""mean_fill"": 0.9901044334779284, ""p_meet"": 0.75, ""mean_cost"": 12770805.155540213, ""mcse_cost"": 10693.870471789194, ""mean_shortage_days"": 20.00273822562979, ""mean_cost_per_unit"": 13.685718827496757, ""capacity_utilization"": 4666754.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 0.6, ""strategy_id"": ""S0"", ""mean_fill"": 0.9813872020080254, ""p_meet"": 0.5, ""mean_cost"": 12744460.267186113, ""mcse_cost"": 10283.918870338457, ""mean_shortage_days"": 30.59418811610076, ""mean_cost_per_unit"": 13.77994524003709, ""capacity_utilization"": 4625163.75, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 0.05 and 0.6; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,commissioning_days,global.node_commissioning_days,365.0,730.0,1095.0,False,False,,infeasible_everywhere,"[{""value"": 365.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 12766469.896530628, ""mcse_cost"": 12159.199118028751, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 13.715616424399062, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 1095.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 12766469.896530628, ""mcse_cost"": 12159.199118028751, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 13.715616424399062, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 365.0 and 1095.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,activation_latency_days,global.reserved_capacity_activation_days,7.0,21.0,60.0,False,False,,infeasible_everywhere,"[{""value"": 7.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 12766469.896530628, ""mcse_cost"": 12159.199118028751, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 13.715616424399062, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 60.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 12766469.896530628, ""mcse_cost"": 12159.199118028751, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 13.715616424399062, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 7.0 and 60.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,node_capital,product.capital_usd_per_site,15000000.0,40000000.0,100000000.0,False,False,,infeasible_everywhere,"[{""value"": 15000000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 8576968.914712312, ""mcse_cost"": 12159.199118028753, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 9.214218455024767, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 100000000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 22821272.252893902, ""mcse_cost"": 12159.199118028671, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 24.51897155089665, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 15000000.0 and 100000000.0; no threshold inside the recorded range,,
