candidate_id,ingredient,presentation,protocol_role,dossier_generated_at,shortage_current_rows,shortage_total_rows,shortage_years_since_first_posting,shortage_reasons,shortage_listed_now,application_count,anda_count,nda_count,orange_book_applicants,bulks_list_status,cms_partb_rows,dailymed_injectable_titles,flags,annual_demand_units,shelf_life_months,units_per_batch,material_lead_time_days,hard_gate_outcome,data_partial_score,sterilization_route,substitution_difficulty,contractability,evidence
acetazolamide_500mg_vial,acetazolamide,acetazolamide sodium 500 mg lyophilized powder vial,explicit out-of-archetype (lyophilized) comparator,2026-09-02T04:07:45.241545+00:00,0,0,,,False,10,9,1,9,absent,1,8,"{""aqueous_solution"": false, ""biologic_or_vaccine"": false, ""cold_chain_intensive"": false, ""controlled_substance"": false, ""cytotoxic_or_high_potency"": false, ""drug_device_combination"": false, ""lyophilized"": true, ""small_molecule"": true, ""standard_vial"": true, ""suspension_or_emulsion"": false}",,,,,FAIL,0.75,,,,"{""anda_count"": ""S16:52e1277513bc"", ""application_count"": ""S16:52e1277513bc"", ""bulks_list_status"": ""S14:7f00a4d2672a"", ""cms_partb_rows"": ""S19:986deefa094d"", ""dailymed_injectable_titles"": ""S18:282b33d34c33"", ""nda_count"": ""S16:52e1277513bc"", ""openfda_records"": ""S01B:417de7856556"", ""orange_book_applicants"": ""S17:caaa826d4ba7"", ""shortage_current_rows"": ""S01:2ea0ff3bb44c"", ""shortage_reasons"": ""S01:2ea0ff3bb44c"", ""shortage_total_rows"": ""S01:2ea0ff3bb44c""}"
acyclovir_sodium_50mgml_vial,acyclovir,acyclovir sodium 50 mg/mL vial (10 mL or 20 mL; exact fill not fixed),reserve,2026-09-02T04:07:44.670591+00:00,0,0,,,False,22,21,1,14,absent,1,1,"{""aqueous_solution"": true, ""biologic_or_vaccine"": false, ""cold_chain_intensive"": false, ""controlled_substance"": false, ""cytotoxic_or_high_potency"": false, ""drug_device_combination"": false, ""lyophilized"": false, ""small_molecule"": true, ""standard_vial"": true, ""suspension_or_emulsion"": false}",,,,,UNCERTAIN,0.75,,,,"{""anda_count"": ""S16:52e1277513bc"", ""application_count"": ""S16:52e1277513bc"", ""bulks_list_status"": ""S14:7f00a4d2672a"", ""cms_partb_rows"": ""S19:986deefa094d"", ""dailymed_injectable_titles"": ""S18:0364dcefc84c"", ""nda_count"": ""S16:52e1277513bc"", ""openfda_records"": ""S01B:417de7856556"", ""orange_book_applicants"": ""S17:caaa826d4ba7"", ""shortage_current_rows"": ""S01:2ea0ff3bb44c"", ""shortage_reasons"": ""S01:2ea0ff3bb44c"", ""shortage_total_rows"": ""S01:2ea0ff3bb44c""}"
furosemide_10mgml_vial,furosemide,"10 mg/mL vial (2, 4, or 10 mL; exact fill not fixed)",reserve (repository scorecard pick 2026-07-16),2026-09-02T04:07:44.861355+00:00,30,33,6.4,Demand increase for the drug; Discontinuation of the manufacture of the drug; Other; Requirements related to complying with good manufacturing practices; Shortage of an inactive ingredient component,True,37,27,10,28,absent,1,31,"{""aqueous_solution"": true, ""biologic_or_vaccine"": false, ""cold_chain_intensive"": false, ""controlled_substance"": false, ""cytotoxic_or_high_potency"": false, ""drug_device_combination"": false, ""lyophilized"": false, ""small_molecule"": true, ""standard_vial"": true, ""suspension_or_emulsion"": false}",,,,,UNCERTAIN,1.65,,,,"{""anda_count"": ""S16:52e1277513bc"", ""application_count"": ""S16:52e1277513bc"", ""bulks_list_status"": ""S14:7f00a4d2672a"", ""cms_partb_rows"": ""S19:986deefa094d"", ""dailymed_injectable_titles"": ""S18:e464b6b51f69"", ""nda_count"": ""S16:52e1277513bc"", ""openfda_records"": ""S01B:417de7856556"", ""orange_book_applicants"": ""S17:caaa826d4ba7"", ""shortage_current_rows"": ""S01:2ea0ff3bb44c"", ""shortage_reasons"": ""S01:2ea0ff3bb44c"", ""shortage_total_rows"": ""S01:2ea0ff3bb44c"", ""shortage_years_since_first_posting"": ""S01:2ea0ff3bb44c""}"
norepinephrine_1mgml_4ml,norepinephrine,1 mg/mL (4 mg/4 mL) single-dose vial,resolved/recurrent comparator,2026-09-02T04:07:44.472767+00:00,0,0,,,False,26,22,4,23,absent,0,31,"{""aqueous_solution"": true, ""biologic_or_vaccine"": false, ""cold_chain_intensive"": false, ""controlled_substance"": false, ""cytotoxic_or_high_potency"": false, ""drug_device_combination"": false, ""lyophilized"": false, ""small_molecule"": true, ""standard_vial"": true, ""suspension_or_emulsion"": false}",900000.0,24.0,30000.0,90.0,UNCERTAIN,0.65,,,,"{""anda_count"": ""S16:52e1277513bc"", ""annual_demand_units"": ""config:norepinephrine_1mgml_4ml.yaml:tier5"", ""application_count"": ""S16:52e1277513bc"", ""bulks_list_status"": ""S14:7f00a4d2672a"", ""cms_partb_rows"": ""S19:986deefa094d"", ""dailymed_injectable_titles"": ""S18:8f9cb72e5257"", ""material_lead_time_days"": ""config:norepinephrine_1mgml_4ml.yaml:tier5"", ""nda_count"": ""S16:52e1277513bc"", ""openfda_records"": ""S01B:417de7856556"", ""orange_book_applicants"": ""S17:caaa826d4ba7"", ""shelf_life_months"": ""config:norepinephrine_1mgml_4ml.yaml:tier5"", ""shortage_current_rows"": ""S01:2ea0ff3bb44c"", ""shortage_reasons"": ""S01:2ea0ff3bb44c"", ""shortage_total_rows"": ""S01:2ea0ff3bb44c"", ""units_per_batch"": ""config:norepinephrine_1mgml_4ml.yaml:tier5""}"
sodium_bicarbonate_8_4_50ml,sodium bicarbonate,8.4% (50 mEq/50 mL) single-dose vial,current/recurrent case candidate,2026-09-02T04:07:44.243193+00:00,15,19,9.51,Demand increase for the drug; Discontinuation of the manufacture of the drug; Other,True,19,16,3,12,not_included,0,24,"{""aqueous_solution"": true, ""biologic_or_vaccine"": false, ""cold_chain_intensive"": false, ""controlled_substance"": false, ""cytotoxic_or_high_potency"": false, ""drug_device_combination"": false, ""lyophilized"": false, ""small_molecule"": true, ""standard_vial"": true, ""suspension_or_emulsion"": false}",1200000.0,24.0,25000.0,90.0,UNCERTAIN,1.65,,,,"{""anda_count"": ""S16:52e1277513bc"", ""annual_demand_units"": ""config:sodium_bicarbonate_8_4_50ml.yaml:tier5"", ""application_count"": ""S16:52e1277513bc"", ""bulks_list_status"": ""S14:7f00a4d2672a"", ""cms_partb_rows"": ""S19:986deefa094d"", ""dailymed_injectable_titles"": ""S18:b6d09135744c"", ""material_lead_time_days"": ""config:sodium_bicarbonate_8_4_50ml.yaml:tier5"", ""nda_count"": ""S16:52e1277513bc"", ""openfda_records"": ""S01B:417de7856556"", ""orange_book_applicants"": ""S17:caaa826d4ba7"", ""shelf_life_months"": ""config:sodium_bicarbonate_8_4_50ml.yaml:tier5"", ""shortage_current_rows"": ""S01:2ea0ff3bb44c"", ""shortage_reasons"": ""S01:2ea0ff3bb44c"", ""shortage_total_rows"": ""S01:2ea0ff3bb44c"", ""shortage_years_since_first_posting"": ""S01:2ea0ff3bb44c"", ""units_per_batch"": ""config:sodium_bicarbonate_8_4_50ml.yaml:tier5""}"
sterile_water_for_injection_vial,sterile water for injection,single-dose vial (fill not fixed),include only if scale can be represented meaningfully,2026-09-02T04:07:45.053518+00:00,21,21,4.77,Demand increase for the drug; Discontinuation of the manufacture of the drug; Other,True,1,1,,0,absent,1,38,"{""aqueous_solution"": true, ""biologic_or_vaccine"": false, ""cold_chain_intensive"": false, ""controlled_substance"": false, ""cytotoxic_or_high_potency"": false, ""drug_device_combination"": false, ""lyophilized"": false, ""small_molecule"": true, ""standard_vial"": true, ""suspension_or_emulsion"": false}",,,,,UNCERTAIN,2.25,,,,"{""anda_count"": ""S16:52e1277513bc"", ""application_count"": ""S16:52e1277513bc"", ""bulks_list_status"": ""S14:7f00a4d2672a"", ""cms_partb_rows"": ""S19:986deefa094d"", ""dailymed_injectable_titles"": ""S18:32f17469d12c"", ""nda_count"": ""S16:52e1277513bc"", ""openfda_records"": ""S01B:417de7856556"", ""orange_book_applicants"": ""S17:caaa826d4ba7"", ""shortage_current_rows"": ""S01:2ea0ff3bb44c"", ""shortage_reasons"": ""S01:2ea0ff3bb44c"", ""shortage_total_rows"": ""S01:2ea0ff3bb44c"", ""shortage_years_since_first_posting"": ""S01:2ea0ff3bb44c""}"
