HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spndng_Per_Dsg_Unt_2023,Avg_Spndng_Per_Clm_2023,Avg_Spndng_Per_Bene_2023,Outlier_Flag_2023,Tot_Spndng_2024,Tot_Dsg_Unts_2024,Tot_Clms_2024,Tot_Benes_2024,Avg_Spndng_Per_Dsg_Unt_2024,Avg_Spndng_Per_Clm_2024,Avg_Spndng_Per_Bene_2024,Outlier_Flag_2024,Avg_DY24_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_23_24,CAGR_Avg_Spnd_Per_Dsg_Unt_20_24
J0221,"Injection, alglucosidase alfa, (lumizyme), 10 mg",Lumizyme,Alglucosidase Alfa,62106434.59,421051,2075,124,147.5033537,29930.81185,500858.3435,0,61675529.63,409816,2067,116,150.4956606,29838.1856,531685.6003,0,41371331.41,231183,1210,86,178.9549033,34191.18298,481061.9931,0,25682600.59,136427,693,49,188.2515968,37060.02971,524134.7059,0,17113295.97,87521,429,31,195.5335973,39891.1328,552041.8055,0,199.55325,0.038682278,0.073012729
J0222,"Injection, patisiran, 0.1 mg",Onpattro,"Patisiran Sodium,lipid Complex",60532021.65,621134,2340,215,97.45404639,25868.38532,281544.2867,0,82896518.89,851191,3170,279,97.38885737,26150.32142,297120.1394,0,98102746.27,1007673,3785,338,97.35573571,25918.82332,290244.8115,0,37700003.09,381507,1458,174,98.81864052,25857.34094,216666.6844,0,24036499.81,248407,944,84,96.76257034,25462.39387,286148.8073,0,99.3535,-0.020806501,-0.001778591
J0223,"Injection, givosiran, 0.5 mg",Givlaari,Givosiran Sodium,3953268.84,36943,105,19,107.009957,37650.17943,208066.7811,0,10731531.69,100822,287,35,106.440377,37392.09648,306615.1911,0,14866283.6,139933,375,40,106.2385828,39643.42293,371657.09,0,16461148.64,151627,375,43,108.5634395,43896.39637,382817.4102,0,16003607.93,145866,363,43,109.7144498,44087.07419,372176.9286,0,112.1285,0.010602191,0.006259307
J0224,"Injection, lumasiran, 0.5 mg",Oxlumo,Lumasiran Sodium,,,,,,,,,,,,,,,,,2607112.33,9088,27,,286.874156,96559.71593,,0,3511437.79,11340,26,,309.6505988,135055.2996,,0,3667203.35,11726,44,,312.7412033,83345.53068,,0,318.50675,0.009980942,0.044111403
J0225,"Injection, vutrisiran, 1 mg",Amvuttra,Vutrisiran Sodium,,,,,,,,,,,,,,,,,,,,,,,,,167422647,35218,2293,478,4753.89423,73014.67378,350256.5836,0,229033878.8,47837.5,3103,603,4787.747662,73810.4669,379824.0113,0,4935.177,0.0071212,0.0071212
J0248,"Injection, remdesivir, 1 mg",Veklury,Remdesivir,,,,,,,,,121748.92,22088,128,111,5.511993843,951.1634375,1096.837117,0,28042109.72,5155131,26319,14563,5.439650267,1065.470182,1925.572322,0,22660479.94,4004095,23566,11848,5.65932625,961.5751481,1912.59959,0,14633667.4,2395957,13477,7399,6.107650263,1085.825288,1977.789891,0,6.206,0.07921862,0.034796963
J0256,"Injection, alpha 1 proteinase inhibitor (human), not otherwise specified, 10 mg",Aralast NP*,Alpha-1-Proteinase Inhibitor*,102288299.2,25897881.6,34833,1380,3.949678231,2936.534298,74121.95594,0,111472532.1,27384416.8,37430,1399,4.070655693,2978.160089,79680.15164,0,121897493.1,27407085.7,38467,1424,4.447663441,3168.884839,85602.17211,0,126250917.5,27109722.4,39480,1423,4.657034683,3197.844921,88721.65668,0,131269252.9,27437730.5,41361,1389,4.784260596,3173.74466,94506.30157,0,4.89025,0.027319082,0.049091281
J0257,"Injection, alpha 1 proteinase inhibitor (human), (glassia), 10 mg",Glassia,Alpha-1-Proteinase Inhibitor,11859264.08,2630525,3885,162,4.508325935,3052.577627,73205.33383,0,13123767.68,2876026,4287,178,4.563160305,3061.29407,73729.03191,0,15749846.31,3161452,5123,192,4.981839455,3074.340486,82030.44953,0,18951236.76,3674538,6289,222,5.157447483,3013.394301,85365.93135,0,22505494.92,4217637,7211,254,5.3360436,3120.994997,88604.31071,0,5.42725,0.03462878,0.043040125
J0278,"Injection, amikacin sulfate, 100 mg",Amikacin Sulfate,Amikacin Sulfate,45529.6,35893.8,5030,1657,1.268453048,9.051610338,27.47712734,0,50174.89,41247.5,5469,1909,1.216434693,9.174417627,26.28333683,0,34303.56,36959.3,4704,1877,0.928144202,7.292423469,18.27573788,0,30156.05,33675,4656,1724,0.895502598,6.476814863,17.49190835,0,30388.77,35394.5,5313,1805,0.858573225,5.719700734,16.83588366,0,0.8115,-0.041238712,-0.092961469
J0280,"Injection, aminophyllin, up to 250 mg",Aminophylline,Aminophylline,494654.36,64262.5,54030,52439,7.697402996,9.155179715,9.432947997,0,523894.99,65933,58946,58111,7.94586914,8.887710617,9.015418595,0,438595.13,53002.5,48241,47920,8.274989482,9.091750378,9.152652963,0,380816.56,45971.1,41609,41291,8.283825273,9.152264174,9.222749752,0,336621.33,43109,37963,37712,7.808609107,8.867089798,8.926106544,0,8.407,-0.057366754,0.003592402
J0285,"Injection, amphotericin b, 50 mg",Amphotericin B,Amphotericin B,12677.46,435,170,50,29.14358621,74.57329412,253.5492,0,10921.1,275,100,49,39.71309091,109.211,222.8795918,0,9980.42,233,104,46,42.8344206,95.96557692,216.9656522,0,7018.18,193,72,42,36.36362694,97.47472222,167.0995238,0,14941.63,401,134,46,37.26092269,111.5047015,324.8180435,1,35.9915,0.02467564,0.063353472
J0289,"Injection, amphotericin b liposome, 10 mg",AmbIsome*,Amphotericin B Liposome*,2559494.55,102841,1686,271,24.88788081,1518.086922,9444.629336,0,2315051.67,88565,1349,253,26.13957737,1716.124292,9150.401858,0,2333220.93,87937,1205,208,26.53286933,1936.28293,11217.40832,0,1748170.43,66606,1145,195,26.24644071,1526.786402,8964.976564,0,1807245.6,72648,1088,205,24.87674265,1661.071324,8815.832195,0,24.824,-0.05218605,-0.000111902
J0290,"Injection, ampicillin sodium, 500 mg",Ampicillin Sodium,Ampicillin Sodium,14842.06,15503,2051,1044,0.957366961,7.236499269,14.21653257,0,16649.25,16886.4,1269,626,0.985956154,13.11997636,26.59624601,0,8497.46,11764.9,1293,559,0.722272183,6.571894818,15.20118068,0,9233.83,10957,1072,514,0.842733412,8.613647388,17.96464981,0,10110.89,11193,1152,526,0.903322612,8.776814236,19.22222434,0,0.918,0.071896046,-0.014421748
J0291,"Injection, plazomicin, 5 mg",Zemdri,Plazomicin Sulfate,264734.03,85163,459,75,3.108556885,576.7625926,3529.787067,0,236780.93,76793,496,87,3.083366062,477.3809073,2721.619885,0,125169.08,40474,184,33,3.092579928,680.2667391,3793.002424,0,128522.91,38221,207,24,3.36262552,620.8836232,5355.12125,0,165052.7,46646,227,29,3.538410582,727.1044053,5691.472414,0,3.59575,0.052276134,0.03290969
J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Ampicillin-Sulbactam*,Ampicillin Sod/Sulbactam Sod*,21984.46,7791,1491,606,2.821776409,14.74477532,36.2779868,0,17728.11,6830.5,1204,600,2.595433716,14.72434385,29.54685,0,14062.46,5689,1041,585,2.471868518,13.50860711,24.03839316,0,12854.87,5893,1268,570,2.181379603,10.1379101,22.55240351,0,12225.95,6129,1282,580,1.994770762,9.536622465,21.07922414,0,1.96225,-0.085546248,-0.083056452
J0348,"Injection, anidulafungin, 1 mg",Eraxis*,Anidulafungin*,6230.75,12194,125,11,0.510968509,49.846,566.4318182,0,9646.83,11088,96,12,0.870024351,100.4878125,803.9025,0,17868.72,11811,112,14,1.512887986,159.5421429,1276.337143,0,7546.99,16292,152,16,0.463232875,49.65125,471.686875,0,6593.74,14006,128,11,0.470779666,51.51359375,599.4309091,0,0.47875,0.01629157,-0.020271165
J0349,"Injection, rezafungin, 1 mg",Rezzayo,Rezafungin Acetate,,,,,,,,,,,,,,,,,,,,,,,,,128315.92,13000,51,16,9.870455385,2515.998431,8019.745,0,1100128.94,112612,407,107,9.769198132,2703.019509,10281.57888,0,10.1215,-0.01025862,-0.01025862
J0360,"Injection, hydralazine hcl, up to 20 mg",Hydralazine HCL,Hydralazine HCL,6126.92,1206,1121,928,5.080364843,5.4655843,6.602284483,1,5948.05,867,793,672,6.860495963,7.500693569,8.851264881,1,7131.74,821,761,645,8.686650426,9.371537451,11.05696124,1,8099.97,940,876,773,8.616989362,9.246541096,10.47861578,1,5993.66,883,804,703,6.78783692,7.454800995,8.525832148,1,4.823,-0.212272798,0.075125405
J0401,"Injection, aripiprazole (abilify maintena), 1 mg",Abilify Maintena,Aripiprazole,4522202.73,1016988,3236,636,4.446662822,1397.466851,7110.381651,0,4344086.93,943903,3147,619,4.602259904,1380.389873,7017.911034,0,5518968.08,946446,3396,637,5.831255117,1625.137833,8664.000126,0,5387732.71,912936,3360,652,5.901544807,1603.491878,8263.393727,0,4917837.21,814240,2887,594,6.039788281,1703.442054,8279.187222,0,6.9255,0.023424964,0.079560234
J0402,"Injection, aripiprazole (abilify asimtufii), 1 mg",Abilify Asimtufii,Aripiprazole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89190.88,21861,45,22,4.079908513,1982.019556,4054.130909,1,5.89,,
J0456,"Injection, azithromycin, 500 mg",Azithromycin*,Azithromycin*,5055.53,1263,1017,467,4.002794933,4.971022616,10.82554604,0,5557.67,1449,883,409,3.835521049,6.29407701,13.58843521,0,3352.02,877,821,441,3.822143672,4.082850183,7.600952381,1,2975.22,973,928,468,3.057780062,3.206056035,6.357307692,0,2748.9,825,770,450,3.332,3.57,6.108666667,1,2.3105,0.089679419,-0.044819577
J0457,"Injection, aztreonam, 100 mg",Azactam*,Aztreonam*,,,,,,,,,,,,,,,,,,,,,,,,,13640.46,4404,97,20,3.097288828,140.623299,682.023,0,116665.37,51732,1752,981,2.255187698,66.58982306,118.9249439,0,2.304,-0.271883307,-0.271883307
J0461,"Injection, atropine sulfate, 0.01 mg",Atropine Sulfate*,Atropine Sulfate*,168295.57,2335534,53307,9771,0.072058711,3.157100756,17.22398629,0,197767.67,2260296,51633,9625,0.087496359,3.8302572,20.54729039,0,182790.77,2262985,51357,9342,0.080774185,3.559218218,19.56655641,0,189665.18,2250292,50725,9280,0.084284697,3.739086841,20.43805819,0,184194.09,2209076,50874,9157,0.083380604,3.62059382,20.11511303,0,0.089,-0.010726666,0.037157318
