strategy_id,product_id,input_name,parameter_id,low,base,high,feasible_at_low,feasible_at_high,threshold,direction,evaluations,note,bracket_low,bracket_high
S0,norepinephrine_1mgml_4ml,capacity_utilization,product.annual_demand_units,500000.0,900000.0,1800000.0,True,False,1048437.5,feasible_below,"[{""value"": 500000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9998898494698695, ""p_meet"": 1.0, ""mean_cost"": 11894462.734407796, ""mcse_cost"": 6174.544724327065, ""mean_shortage_days"": 1.2701738773274918, ""mean_cost_per_unit"": 22.71356797978654, ""capacity_utilization"": 2618428.7, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 1800000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.6506008664692453, ""p_meet"": 0.0, ""mean_cost"": 13441562.974810675, ""mcse_cost"": 22501.365103002532, ""mean_shortage_days"": 213.86927710843375, ""mean_cost_per_unit"": 11.024999995639948, ""capacity_utilization"": 6103226.9, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 1150000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9680048009856581, ""p_meet"": 0.25, ""mean_cost"": 13233187.137163008, ""mcse_cost"": 26500.396758921685, ""mean_shortage_days"": 62.128504928806116, ""mean_cost_per_unit"": 11.37325220851057, ""capacity_utilization"": 5823654.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 825000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.997388344346974, ""p_meet"": 0.95, ""mean_cost"": 12755332.404272964, ""mcse_cost"": 13305.1937338382, ""mean_shortage_days"": 6.070831051478642, ""mean_cost_per_unit"": 14.79958016400857, ""capacity_utilization"": 4309439.0, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 987500.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9961244755351191, ""p_meet"": 0.9, ""mean_cost"": 13153900.944315905, ""mcse_cost"": 21202.078904087535, ""mean_shortage_days"": 7.290998083242057, ""mean_cost_per_unit"": 12.767194106361092, ""capacity_utilization"": 5151501.05, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 1068750.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9893775062481149, ""p_meet"": 0.85, ""mean_cost"": 13220164.2005207, ""mcse_cost"": 27856.3533744723, ""mean_shortage_days"": 19.252635542168672, ""mean_cost_per_unit"": 11.942607692021658, ""capacity_utilization"": 5536786.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 1028125.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9929415029735476, ""p_meet"": 0.9, ""mean_cost"": 13212425.2064619, ""mcse_cost"": 27649.443675904153, ""mean_shortage_days"": 11.531578587075574, ""mean_cost_per_unit"": 12.359639278350325, ""capacity_utilization"": 5346189.05, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",bisection over 5 steps on 20 paired runs,1028125.0,1068750.0
S0,norepinephrine_1mgml_4ml,fixed_qa_labor_per_node,product.fixed_qa_labor_usd_per_site_year,1500000.0,3000000.0,6000000.0,True,True,,feasible_everywhere,"[{""value"": 1500000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9968866670974602, ""p_meet"": 0.95, ""mean_cost"": 11380211.143103102, ""mcse_cost"": 18516.667239313665, ""mean_shortage_days"": 6.23085295728368, ""mean_cost_per_unit"": 12.109942889966408, ""capacity_utilization"": 4698791.65, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 6000000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9968866670974602, ""p_meet"": 0.95, ""mean_cost"": 16059328.663408736, ""mcse_cost"": 18516.667239313614, ""mean_shortage_days"": 6.23085295728368, ""mean_cost_per_unit"": 17.08928326761478, ""capacity_utilization"": 4698791.65, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 1500000.0 and 6000000.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,release_time,global.sterility_incubation_days,14.0,14.0,18.0,True,True,,feasible_everywhere,"[{""value"": 14.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9968866670974602, ""p_meet"": 0.95, ""mean_cost"": 12939916.98320498, ""mcse_cost"": 18516.667239313614, ""mean_shortage_days"": 6.23085295728368, ""mean_cost_per_unit"": 13.769723015849195, ""capacity_utilization"": 4698791.65, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 18.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9968847907247363, ""p_meet"": 0.9, ""mean_cost"": 12935544.26488899, ""mcse_cost"": 18424.418510591993, ""mean_shortage_days"": 7.361007667031761, ""mean_cost_per_unit"": 13.76522354911794, ""capacity_utilization"": 4698780.5, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 14.0 and 18.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,shelf_life,product.shelf_life_months,12.0,24.0,30.0,False,True,16.78125,feasible_above,"[{""value"": 12.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9866077319548026, ""p_meet"": 0.75, ""mean_cost"": 13015621.146272223, ""mcse_cost"": 23785.41260523207, ""mean_shortage_days"": 23.45321056955093, ""mean_cost_per_unit"": 13.999499857392053, ""capacity_utilization"": 4649673.6, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 30.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9976119167949872, ""p_meet"": 0.95, ""mean_cost"": 12927157.062453834, ""mcse_cost"": 17196.63065566579, ""mean_shortage_days"": 4.940676341730557, ""mean_cost_per_unit"": 13.746102699576905, ""capacity_utilization"": 4702274.7, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 21.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9967500028953996, ""p_meet"": 0.9, ""mean_cost"": 12945842.273166243, ""mcse_cost"": 19178.801293384167, ""mean_shortage_days"": 6.730921412924426, ""mean_cost_per_unit"": 13.778121619579029, ""capacity_utilization"": 4698137.5, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 16.5, ""strategy_id"": ""S0"", ""mean_fill"": 0.9935507632417, ""p_meet"": 0.8, ""mean_cost"": 12981035.45155885, ""mcse_cost"": 21819.95555108779, ""mean_shortage_days"": 11.501574479737128, ""mean_cost_per_unit"": 13.861009201801497, ""capacity_utilization"": 4682816.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 18.75, ""strategy_id"": ""S0"", ""mean_fill"": 0.9958082457170248, ""p_meet"": 0.9, ""mean_cost"": 12967401.202311378, ""mcse_cost"": 20620.235339637926, ""mean_shortage_days"": 8.21112404162103, ""mean_cost_per_unit"": 13.814699043568567, ""capacity_utilization"": 4693669.95, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 17.625, ""strategy_id"": ""S0"", ""mean_fill"": 0.9948172608849072, ""p_meet"": 0.9, ""mean_cost"": 12971811.735397661, ""mcse_cost"": 20422.28775875563, ""mean_shortage_days"": 8.751197973713033, ""mean_cost_per_unit"": 13.833178061347194, ""capacity_utilization"": 4688862.85, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 17.0625, ""strategy_id"": ""S0"", ""mean_fill"": 0.9942100422860157, ""p_meet"": 0.9, ""mean_cost"": 12981811.026487194, ""mcse_cost"": 21297.738284634903, ""mean_shortage_days"": 10.471433461117197, ""mean_cost_per_unit"": 13.852496233854902, ""capacity_utilization"": 4685984.15, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",bisection over 5 steps on 20 paired runs,16.5,17.0625
S0,norepinephrine_1mgml_4ml,raw_material_lead_time,product.material_lead_time_days,30.0,90.0,240.0,True,True,,feasible_everywhere,"[{""value"": 30.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.998931249581409, ""p_meet"": 0.95, ""mean_cost"": 12981193.827457909, ""mcse_cost"": 12787.214683601094, ""mean_shortage_days"": 3.5904915115005474, ""mean_cost_per_unit"": 13.784845889907965, ""capacity_utilization"": 4708562.55, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 240.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9964251603015105, ""p_meet"": 0.95, ""mean_cost"": 12919166.248867538, ""mcse_cost"": 18034.574902869397, ""mean_shortage_days"": 7.060966593647315, ""mean_cost_per_unit"": 13.754646277035377, ""capacity_utilization"": 4696613.2, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 30.0 and 240.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,common_cause_dependence,global.common_cause_events_per_year,0.02,0.1,0.3,True,False,0.173125,feasible_below,"[{""value"": 0.02, ""strategy_id"": ""S0"", ""mean_fill"": 0.99947125556109, ""p_meet"": 1.0, ""mean_cost"": 12971499.788452202, ""mcse_cost"": 9515.302149451052, ""mean_shortage_days"": 2.2403066812705363, ""mean_cost_per_unit"": 13.767250592113621, ""capacity_utilization"": 4711141.1, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 0.3, ""strategy_id"": ""S0"", ""mean_fill"": 0.9853949938801909, ""p_meet"": 0.85, ""mean_cost"": 12865560.92945319, ""mcse_cost"": 32820.56466277121, ""mean_shortage_days"": 15.732153614457832, ""mean_cost_per_unit"": 13.868024310243669, ""capacity_utilization"": 4642697.1, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 0.16, ""strategy_id"": ""S0"", ""mean_fill"": 0.9965324780928079, ""p_meet"": 0.9, ""mean_cost"": 12926793.3991868, ""mcse_cost"": 18216.69639058162, ""mean_shortage_days"": 7.120974808324204, ""mean_cost_per_unit"": 13.760482282632442, ""capacity_utilization"": 4697091.35, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 0.22999999999999998, ""strategy_id"": ""S0"", ""mean_fill"": 0.985718939732009, ""p_meet"": 0.8, ""mean_cost"": 12873157.509664739, ""mcse_cost"": 31131.60070857615, ""mean_shortage_days"": 16.062198795180716, ""mean_cost_per_unit"": 13.864981380740456, ""capacity_utilization"": 4644831.7, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 0.195, ""strategy_id"": ""S0"", ""mean_fill"": 0.9947497761819493, ""p_meet"": 0.8, ""mean_cost"": 12908704.113772757, ""mcse_cost"": 20737.51001830416, ""mean_shortage_days"": 9.771337623220152, ""mean_cost_per_unit"": 13.765557863936953, ""capacity_utilization"": 4688408.3, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 0.1775, ""strategy_id"": ""S0"", ""mean_fill"": 0.9962020407355953, ""p_meet"": 0.85, ""mean_cost"": 12914193.82806623, ""mcse_cost"": 19288.654614127325, ""mean_shortage_days"": 7.731058324205913, ""mean_cost_per_unit"": 13.751628515552468, ""capacity_utilization"": 4695519.2, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 0.16875, ""strategy_id"": ""S0"", ""mean_fill"": 0.9965001406052674, ""p_meet"": 0.9, ""mean_cost"": 12920606.170079846, ""mcse_cost"": 18433.03344013427, ""mean_shortage_days"": 7.1109734392113895, ""mean_cost_per_unit"": 13.754382743932876, ""capacity_utilization"": 4696937.8, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",bisection over 5 steps on 20 paired runs,0.16875,0.1775
S0,norepinephrine_1mgml_4ml,supplier_concentration,global.supplier_disruptions_per_supplier_year,0.05,0.2,0.6,True,True,,feasible_everywhere,"[{""value"": 0.05, ""strategy_id"": ""S0"", ""mean_fill"": 0.9971920866657797, ""p_meet"": 0.95, ""mean_cost"": 12960184.666699197, ""mcse_cost"": 17969.571108986373, ""mean_shortage_days"": 4.74064895947426, ""mean_cost_per_unit"": 13.786781192813077, ""capacity_utilization"": 4700286.4, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 0.6, ""strategy_id"": ""S0"", ""mean_fill"": 0.9939846131495098, ""p_meet"": 0.9, ""mean_cost"": 12861966.574316876, ""mcse_cost"": 23647.422039415007, ""mean_shortage_days"": 11.011507393209202, ""mean_cost_per_unit"": 13.72736592658147, ""capacity_utilization"": 4685037.05, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 0.05 and 0.6; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,commissioning_days,global.node_commissioning_days,365.0,730.0,1095.0,True,True,,feasible_everywhere,"[{""value"": 365.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9968866670974602, ""p_meet"": 0.95, ""mean_cost"": 12939916.98320498, ""mcse_cost"": 18516.667239313614, ""mean_shortage_days"": 6.23085295728368, ""mean_cost_per_unit"": 13.769723015849195, ""capacity_utilization"": 4698791.65, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 1095.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9968866670974602, ""p_meet"": 0.95, ""mean_cost"": 12939916.98320498, ""mcse_cost"": 18516.667239313614, ""mean_shortage_days"": 6.23085295728368, ""mean_cost_per_unit"": 13.769723015849195, ""capacity_utilization"": 4698791.65, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 365.0 and 1095.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,activation_latency_days,global.reserved_capacity_activation_days,7.0,21.0,60.0,True,True,,feasible_everywhere,"[{""value"": 7.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9968866670974602, ""p_meet"": 0.95, ""mean_cost"": 12939916.98320498, ""mcse_cost"": 18516.667239313614, ""mean_shortage_days"": 6.23085295728368, ""mean_cost_per_unit"": 13.769723015849195, ""capacity_utilization"": 4698791.65, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 60.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9968866670974602, ""p_meet"": 0.95, ""mean_cost"": 12939916.98320498, ""mcse_cost"": 18516.667239313614, ""mean_shortage_days"": 6.23085295728368, ""mean_cost_per_unit"": 13.769723015849195, ""capacity_utilization"": 4698791.65, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 7.0 and 60.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,node_capital,product.capital_usd_per_site,15000000.0,40000000.0,100000000.0,True,True,,feasible_everywhere,"[{""value"": 15000000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9968866670974602, ""p_meet"": 0.95, ""mean_cost"": 8750416.001386661, ""mcse_cost"": 18516.667239313614, ""mean_shortage_days"": 6.23085295728368, ""mean_cost_per_unit"": 9.311414091049459, ""capacity_utilization"": 4698791.65, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 100000000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9968866670974602, ""p_meet"": 0.95, ""mean_cost"": 22994719.339568257, ""mcse_cost"": 18516.667239313654, ""mean_shortage_days"": 6.23085295728368, ""mean_cost_per_unit"": 24.469664435367847, ""capacity_utilization"": 4698791.65, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 15000000.0 and 100000000.0; no threshold inside the recorded range,,
