product_id,strategy_id,mean_cost,mean_fill,p_meet,feasible,dominated_by,on_frontier,eligibility
norepinephrine_1mgml_4ml,S0,12928697.766598558,0.9959114217845098,0.925,True,S15,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S1,12928697.766598558,0.9959114217845098,0.925,True,S15,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S2,18032782.915366407,0.9985255673525831,0.95,True,,True,NO_CONCLUSION
norepinephrine_1mgml_4ml,S3,17492924.963343255,0.996390236214096,0.925,True,S15;S16;S7,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S4,20181579.042999502,0.9962577692364093,0.925,True,S11;S13;S15;S16;S17;S2;S3;S5;S7,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S5,20063580.299800284,0.9984849406039796,0.975,True,,True,NO_CONCLUSION
norepinephrine_1mgml_4ml,S6,21056386.253706295,0.9984849406039796,0.975,True,S5,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S7,15847847.431736227,0.9966289861801808,0.95,True,,True,NO_CONCLUSION
norepinephrine_1mgml_4ml,S8,22431137.412697542,0.996623576482282,0.9,True,S13;S15;S16;S17;S2;S5;S6;S7,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S9,23276894.44618396,0.9970342222947781,0.9,True,S13;S15;S16;S17;S2;S5;S6,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S10,17755950.33892707,0.9942672448926781,0.875,False,S0;S1;S11;S15;S16;S19;S3;S7,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S11,15162395.510390276,0.9963303000189668,0.95,True,,True,NO_CONCLUSION
norepinephrine_1mgml_4ml,S12,18538581.33220663,0.9963344929895677,0.875,False,S15;S16;S17;S2;S3;S7,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S13,18799932.684170187,0.9976757863378062,0.95,True,S16;S2,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S14,23887777.52644273,0.9968935973511888,0.9,True,S13;S15;S16;S17;S2;S5;S6;S9,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S15,12885419.699182328,0.9975188388880646,0.925,True,,True,NO_CONCLUSION
norepinephrine_1mgml_4ml,S16,16006112.367968544,0.9977516591277217,0.95,True,,True,NO_CONCLUSION
norepinephrine_1mgml_4ml,S17,18389485.598322827,0.9973560121972481,1.0,True,,True,NO_CONCLUSION
norepinephrine_1mgml_4ml,S18,22807279.318633765,0.993361074120245,0.775,False,S0;S1;S10;S11;S12;S13;S15;S16;S17;S19;S2;S3;S4;S5;S6;S7;S8,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S19,15896740.741443913,0.9959970128893645,0.925,True,S11;S15;S7,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S0,13417427.093241032,0.9231787546395289,0.0,False,,True,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S1,13417427.093241032,0.9231787546395289,0.0,False,,True,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S2,24004186.798927017,0.9948209318474618,0.85,False,S11;S12;S16;S17;S3,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S3,18498912.86992485,0.9971255732627876,0.95,True,S11;S16,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S4,24059937.842090372,0.9982842250277455,0.95,True,S11,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S5,32024370.331294984,0.9966653229494191,0.875,False,S11;S16;S3;S4;S9,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S6,33751806.613482706,0.9966653229494191,0.875,False,S11;S16;S3;S4;S5;S9,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S7,16570717.16291498,0.9663140510314701,0.35,False,S11,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S8,23672661.035289176,0.9910340112736435,0.8,False,S10;S11;S12;S13;S16;S17;S3,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S9,24636339.7058858,0.9993775557004192,0.975,True,,True,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S10,18753188.13568423,0.9946006915638101,0.925,True,S11;S16;S3,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S11,16119915.545554604,0.9984409203771373,0.95,True,,True,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S12,21462545.182739533,0.9963132830820995,0.925,True,S11;S16;S17;S3,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S13,19645935.89493721,0.9938709602202884,0.875,False,S10;S11;S16;S17;S3,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S14,25164747.620934792,0.995787040393789,0.85,False,S11;S12;S16;S17;S3;S4;S9,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S15,13386951.545878872,0.9140987499472721,0.0,False,,True,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S16,16724488.169121832,0.9976454087588491,0.95,True,S11,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S17,19420920.1566849,0.9963797213343885,0.925,True,S11;S16;S3,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S18,24172177.349493098,0.9956737613111131,0.85,False,S11;S12;S16;S17;S3;S4,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S19,16363619.366479313,0.8927001470371747,0.0,False,S0;S1;S11;S15,False,NO_CONCLUSION
